,NEWS_HEADER,LABEL
28,"AMLO acusa a Felipe Calderón de ""pactar"" con el crimen organizado y de ""haber permitido que ocurrieran masacres""",1
29,"_HASHTAG_ Los inconformes exigen a las autoridades la atención pronta a sus peticiones que incluyen el cumplimiento de acuerdos de paz y la entrega de recursos públicos para sus comunidades (Instalan huelga de hambre 6 personas de comunidades de Oaxaca en oficinas de Segob, en CDMX)",1
30,El primer ministro británico podría ser objeto de una moción de censura en el Parlamento en las próximas semanas debido al creciente descontento entre legisladores de su partido por el escándalo de las fiestas covid.,0
31,"_HASHTAG_ se debilita a baja presión remanente entre _HASHTAG_ y _HASHTAG_ Ocasionará precipitaciones fuertes en el sureste mexicano, informó la Conagua.",0
32,"🚒 Las llamas consumieron una planta química en la ciudad de Omaha. Las autoridades instaron a evacuar a algunos residentes, aunque no se reportaron heridos.",0
33,"Familiares de cuatro jóvenes que fueron desaparecidos por elementos de la _USER_ durante un operativo policiaco realizado el 25 de septiembre del 2015 en Coatzacoalcos, recibieron una disculpa pública del gobierno de _USER_",1
34,"""Los ucranios utilizarán estos sistemas para repeler los avances rusos en territorio ucraniano, pero no se utilizarán contra (el territorio de) Rusia. Confirma Biden que EU enviará misiles más avanzados a Ucrania""",1
35,¿Qué ventajas e inconvenientes tendría el uso del Paxlovid contra el covid-19?,0
36,"El 98 por ciento de los menores de entre 10 y 15 años se conecta a Internet de forma habitual, según el estudio 'El uso de la tecnología por los menores en España' elaborado por el Observatorio Nacional de Tecnología y Sociedad. El 48% de los padres usan aplicaciones de control parental para proteger a sus hijos en Internet",0
37,"Contra todo pronóstico, la divisa rusa se ha convertido en la moneda con mejor desempeño del mundo frente al dólar",1
38,"Joe Biden quiere demostrar que se está encargando de la inflación... al tiempo que muestra que alguien más se está haciendo cargo. Biden se reunirá este martes con el presidente de la Reserva Federal en una especie de política performativa que, casi con toda seguridad, no contribuirá en nada a resolver la inflación.",0
39,No cualquier abuelita se lanza en paracaídas 🪂. Mujer de 103 años rompe record como la persona más grande en saltar de paracaídas,0
40,"La Fiscalía General del Estado de Puebla estableció que desde 2014, el socio del coordinador de la bancada morenista en la Cámara de Diputados, Ignacio Mier, presuntamente habría adquirido bienes con recursos de procedencia ilícita",0
41,Europa prohíbe parcialmente las importaciones de petróleo ruso.,1
42,"Sheinbaum se reúne con Delfina Gómez, Higinio Martínez y Horacio Duarte; ""juntos seguirán haciendo historia"", dice. La mandataria informó que tuvo una reunión “con tres grandes compañeros”",0
43,"El Hubble espía el corazón de una galaxia en espiral de gran diseño. Capturó la imagen de una galaxia en espiral de gran diseño, la NGC 3631, distante 53 millones de años luz de la Tierra.",0
44,"Luego que juez suspendió obras del Tramo 5 del Tren Maya, _USER_ dijo que no van a imponerse los intereses particulares y que no lo detendrán.",1
45,"Oscar Chávez, Serrat, Los Tigres del Norte, Calle 13 e incluso Beatriz Gutiérrez Müller forman parte del soundtrack de las conferencias matutinas que el presidente agrupó en una lista de la plataforma musical.",0
46,"El senador Manuel Velasco acusó al líder del PRI, Alejandro Moreno, de violar su confianza al grabar una conversación telefónica que, asegura, fue desvirtuada porque ""en ningún momento amenacé a nadie"".",1
47,"""A partir del 1 de junio en Chile, quienes no cumplan con los requisitos obligatorios de vacunación verán bloqueado su pase de movilidad.""",1
48,"""El juicio entre Johnny Depp y Amber Heard está por llegar a su fin. Pero, ¿cómo podría afectar el veredicto a las fortunas de los actores?""",1
49,"""Para la OMS el consumo de tabaco es ""la principal epidemia prevenible a la que se enfrenta la comunidad sanitaria"". En el Día Mundial Sin Tabaco te contamos cuáles son los países que más lo consumen según el listado de la entidad.""",0
50,"""En Nicaragua, la justicia ratificó la detención preventiva del líder opositor y expreso político Yubrank Suazo, quien se encontraba arrestado desde el 18 de mayo y fue presentado este martes en una audiencia inicial.""",0
51,"""David Banda, hijo de Madonna, opta por usar vestido largo para una salida con su madre. Una tarde de relax para los dos en Nueva York: ¿qué piensas de esta tendencia en hombres?""",0
52,"""Falta menos de una semana para el inicio de la Cumbre de las Américas y hay una pregunta que todavía no puede responderse completamente: ¿quiénes asistieron?""",0
53,"""¿Por qué Rusia podría cortar el gas natural a Dinamarca y a los Países Bajos?""",1
54,"""Si el candidato Rodolfo Hernández llegara a la presidencia de Colombia, tendría que enfrentar un gran reto: la gobernabilidad.""",0
55,"""La Asamblea Nacional de Nicaragua canceló este martes la personería jurídica de 83 organizaciones de la sociedad civil, entre ellas la Academia Nicaragüense de la Lengua, fundada en 1928.""",0
56,"""Rusia ya utilizó misiles hipersónicos en Ucrania, y China realizó pruebas exitosas, pero EE.UU. está rezagado de esta carrera armamentística.""",1
57,"""""El candidato presidencial colombiano Gustavo Petro dijo que una denuncia admitida parcialmente a trámite en España por presunto secuestro de un periodista no tiene ""ni pies ni cabeza"" y negó conocer en persona a la víctima.""""",1
58,"""Tess Marie Mata, de 10 a�os, soñaba con volverse viral en TikTok, pese a ser demasiado joven para tener una cuenta. Su vida se apagó hace una semana, cuando un atacante abrió fuego en su escuela en Uvalde, Texas. Ahora su familia quiere cumplir su anhelo.""",0
59,"Reconoce subsecretaria de SRE el talento mexicano durante gira por Europa. Las capitales que tocó la gira fueron Bruselas, París, Praga y Berlín. En la capital alemana se reunió con funcionarios de alto nivel del ministerio de relaciones exteriores pues consideró que era fundamental reunirse con autoridades del nuevo gobierno",0
